,text,DA
1,so,F
2,topic of this meeting is i want to talk a little bit about transcription.,S
31,yeah.,B
48,as it is it's sort of a ad hoc combination of stuff dan set and stuff i set up.,S
51,and the other thing is that um university of washington may want to start recording meetings as well.,S
86,i see.,S
140,yeah sort of,D
149,um in addition to this issue about the u.w. stuff there was announced today uh via the l.d.c. um a corpus from i believe santa barbara.,S
160,they had people come in to a certain degree and they and they have dat recorders.,S
180,no.,S
199,just these.,S
214,so we can get that just with uh media costs.,S
226,the other thing too is from from a,D
253,yeah.,B
271,okay.,S
275,right.,S
287,oh.,B
290,but maybe we should find some day that liz uh liz and andreas seem to be around more often.,S
308,so it has a uh nice useful tcl t.k. user interface.,S
341,that's part of the thing we're talking about.,S
358,so then she can decide oh we don't need all this stuff.,S
382,duh again,D
393,there's a reason why he's resisted.,S
395,well if it's zero then we can't do any transcription.,S
430,do so until you actually have a little experience with what this this french thing does we don't even have,D
458,and,F
459,so i mean i've been sort of playing with uh different ways of because i'm thinking you know i mean if you could get optimal instructions you could cut back on the number of hours it would take.,S
495,i mean it depends on the error rate.,S
517,although i was i you know the alternative which i was sort of experimenting with before i ran out of time recently was um that you know if it were like an arbitrary segment of time pre marked.,S
553,i mean it's not bad.,S
572,if we can go from ten x. to five x. we're doing a big,D
590,uh i don't know.,S
604,maybe maybe we could try the following experiment.,S
627,and and throw out the words.,S
691,yep.,S
725,it might save ninety percent of the work though.,S
728,so i i need to we need to look at what what the final output is.,S
734,yeah.,B
755,right.,S
767,which is a service that you send an audio file.,S
813,just seems like,D
884,you know it's a lot like he's worth fifty an hour.,S
908,but at any rate so we we have a ballpark on how much it would cost if we send it out.,S
954,so that means that even if it takes them thirty times real time it's cheaper to to do graduate students.,S
960,because they might get it more right the first time.,S
978,yeah.,B
1017,unfortunately.,S
1110,so,F
1111,but apart from that.,S
1113,it's also all the source is available.,S
1115,right.,B
1138,and so,F
1139,uh that's a nice feature.,S
1145,you you know there's also the the user interface that's missing.,S
1147,it's missing from all of our offices.,S
1168,i i just don't know how much it's worth doing.,S
1234,appreciate it.,S
1238,yeah.,B
1286,so i was saying like and i could label this one left.,S
1292,but really no uh you know in the context if you know he can't hear what he's saying,D
1303,but but if you knew that that i wasn't actually in the room and that dan wasn't talking to me it it became okay.,S
1307,and that's that's where i added comments.,S
1321,i should rewrite the mix tool to put half the people in one channel and half in the other.,S
1330,okay.,S
1333,i was just going to ask uh so i just wanted to sort of finish off the question i had about backchannels.,S
1365,and so then uh in terms of like words like uh and um i just wrote them.,S
1415,actually it sounds like there might be a problem putting it into the software if the software only handles two parallel channels.,S
1427,and if there are five five people speaking at once,D
1443,but,F
1444,right.,S
1481,sometimes we had the situation which is you know which you which you get in conversations of someone continuing someone else's utterance.,S
1521,i you know i did this i did this transcription.,S
1576,is there,D
1600,no.,F
1601,the,D
1612,i'd like to be able to to pore through you know the the types of conventions that you've come up with and stuff like that.,S
1646,if you just did a crappy job nobody would want you to do it.,S
1649,let's look at it anyway.,S
1672,right.,S
1720,most of the web sites i do aren't that complex.,S
1723,no i think,D
1741,well,F
1742,send me links.,S
1769,um let's move on to electronics.,S
1777,but i all i could i couldn't find it at the local store.,S
1815,and so this is the box's,D
1834,excuse me.,S
1843,right.,S
1848,and so the you we just epoxy them down or something.,S
1852,and even though there's eight cables they're not really very big around.,S
1890,that's really cruel.,S
1892,so that,D
1912,dot dot dot.,S
1929,right.,S
1944,and uh it's function is to to uh essentially a wire converter to go from these little blue wires to these black wires.,S
1974,there will be a certain amount of looking at cables has to be done if people uh rewire things.,S
1977,yeah i mean we i had that last time.,S
2010,well i was wrestling with with literally the number of connectors in the cable and the the uh powering system.,S
2036,you understand what i'm,D
2041,and i can certainly build it out of oak.,S
2050,and it's total crap.,S
2059,so yeah i i guess it's just a question is that something you want to spend your time on.,S
2074,the uh the flat panels.,S
2086,uh,F
2087,then the other question is do we want to try to do a user interface that's available out here.,S
2125,yeah no no i'm i i i ain't joking here.,S
2159,um,F
2160,right so it's just a question of getting a laptop and a wireless modem.,S
2184,i thought it just came through a serial or an ethernet port.,S
2190,the question is is there an apple driver.,S
2192,yeah i'm sure.,S
2195,but the two,D
2234,sure.,S
2284,yeah.,B
2292,well that sounds like a good solution one way or the other.,S
2309,when people talk it they go on and off.,S
2316,using using these,D
2363,oh.,S
1,so,F
2,uh today we're looking at a number of uh things we're trying.,S
19,yeah i could perhaps draw this on the blackboard.,S
66,there's there's no low low pass processing used as additional feature stream.,S
70,do you um they mentioned made some uh when i was on the phone with sunil they they mentioned some weighting scheme that was used to evaluate all of these numbers.,S
81,generally what you observe with t i digits is that the result are very close whatever the the system.,S
107,there is something funny happening here because,D
125,oh we can't do it.,S
131,too bad.,S
135,except i don't know because they i think they are still working well.,S
139,yeah.,F
140,if we had time perhaps we could try to find uh some kind of compromise between the delay that's on the handset and on the server side.,S
143,but well huh for the moment they have this large delay on the the feature computation and so we don't,D
146,all right so for now at least that's not there.,S
153,yeah.,F
154,and uh let's see.,F
160,oh i see yeah that that one you can't use because of the delay.,S
170,actually the yeah the second line is uh pretty much like the first line in yellow.,S
175,yeah.,B
184,and little worse on the on the m m case.,S
186,uh well yeah it's worse than a few things.,S
212,yeah.,B
220,i don't remember.,S
231,yeah.,S
260,yeah.,B
280,it the the output silence of the m l p.,S
297,and we not we are not sure if we pick we have the silence.,S
307,right but i mean what's the what does the last row mean?,S
314,so this is like the second line but with with the combo stuff.,S
322,okay so,F
323,all right.,F
324,so it looks to me i guess the same.,S
330,huh.,B
342,so if we can know what how many words are in each.,S
376,yeah.,B
378,uh yeah well.,F
379,well basically it's this with perhaps some kind of printing and some some other.,S
383,uhhuh.,B
390,uhhuh.,B
393,the my what in this in this situation is my forte which is english.,S
396,huh.,B
411,this is probably channel error stuff.,S
421,right.,F
422,it's presumed there's all sorts of tuning that's gone on on the what they call seen databases.,S
428,so they splitting up between the t i digits and everything else i see.,S
445,so we're doing that also i guess.,S
471,because i i think,D
474,or i don't know.,S
478,is but is is it i thought it was actually something like five p m on,D
526,uhhuh.,B
550,yeah.,B
557,okay.,F
558,well i i think i see where we are and everybody knows what they're doing and is there is there anything else we should talk about?,S
563,so basically we will i think we'll try to to focus on these three architectures.,S
579,we'd have to schedule it.,S
583,it's uh,D
586,so in some ways he just got his payback.,S
591,well uh you guys doing great stuff so that's that that's really neat.,S
593,we'll uh uh don't think we need to uh,D
600,uh dave and i were just talking about that a little while ago.,S
605,okay i'll start.,S
1,welcome to our next meeting.,S
8,furthermore as most of you know i will leave in tenth of december.,S
15,then furthermore i would like to know the status of everybody.,S
29,so that is my current opinion concerning how siemens deal with with my uh ongoing effort.,S
34,in principle in his spare time.,S
58,the,F
59,oh.,S
92,that's okay for me.,S
100,no promises.,S
127,so i think it's related to the work um they've done on sunday here.,S
146,uhhuh.,B
148,you download it if that must be possible from the network.,S
162,and the alumni page in principle we have to,D
175,but um,F
176,i think everybody should take a look to the web pages and inform claudia if something uh has to be improved or if there's some comments.,S
179,uh,F
180,he's laughing all the time.,S
194,i have announced in the project area the major headlines.,S
202,um,F
203,then the next point is then this active routing stuff.,S
205,i would like to discuss it before.,S
209,okay.,S
211,i believe it must be adjusted to the current activities a little bit more.,S
214,i i think it doesn't,D
262,so,F
263,okay.,S
266,i don't know.,F
267,you maybe you can also read through the all the text which is on the web pages.,S
273,um,F
274,but anyways.,F
275,so i tried to do this today.,S
292,no.,S
295,maybe we can we can uh translate the white color into transparent color.,S
307,that's these are some things i have to do.,S
